summary|front_content|back_content
Identity Field Definition|Identity Field (216)|Saves a database ID field in an object to maintain identity between an in-memory object and a database row.
Foreign Key Mapping Definition|Foreign Key Mapping (236)|Maps an association between objects to a foreign key reference between tables.
Association Table Mapping Definition|Association Table Mapping (248)|Saves an association as a table with foreign keys to the tables that are linked by the association.
Dependent Mapping Definition|Dependent Mapping (262)|Has one class perform the database mapping for a child class.
Embedded Value Definition|Embedded Value (268)|Maps an object into several fields of another object's table.
Serialized LOB Definition|Serialized LOB (272)|Saves a graph of objects by serializing them into a single large object (LOB), which it stores in a database field.
Single Table Inheritance Definition|Single Table Inheritance (278)|Represents an inheritance hierarchy of classes as a single table that has columns for all the fields of the various classes.
Class Table Inheritance Definition|Class Table Inheritance (285)|Represents an inheritance hierarchy of classes with one table for each class.
Concrete Table Inheritance Definition|Concrete Table Inheritance (293)|Represents an inheritance hierarchy of classes with one table per concrete class in the hierarchy.
Inheritance Mappers Definition|Inheritance Mappers (302)|A structure to organize database mappers that handle inheritance hierarchies.
